date,count
2010-02-28,84
2010-03-31,167
2010-04-30,108
2010-05-31,178
2010-06-30,313
2010-07-31,133
2010-08-31,403
2010-09-30,530
2010-10-31,440
2010-11-30,776
2010-12-31,958
2011-01-31,462
2011-02-28,342
2011-03-31,670
2011-04-30,332
2011-05-31,294
2011-06-30,180
2011-07-31,1094
2011-08-31,1427
2011-09-30,666
2011-10-31,1032
2011-11-30,624
2011-12-31,399
2012-01-31,125
2012-02-29,305
2012-03-31,332
2012-04-30,319
2012-05-31,162
2012-06-30,151
2012-07-31,356
2012-08-31,580
2012-09-30,166
2012-10-31,126
2012-11-30,114
2012-12-31,96
2013-01-31,108
2013-02-28,78
2013-03-31,66
2013-04-30,148
2013-05-31,105
2013-06-30,146
2013-07-31,208
2013-08-31,210
2013-09-30,68
2013-10-31,70
2013-11-30,44
2013-12-31,177
2014-01-31,105
2014-02-28,72
2014-03-31,110
2014-04-30,110
2014-05-31,99
2014-06-30,113
2014-07-31,315
2014-08-31,180
2014-09-30,101
2014-10-31,240
2014-11-30,181
2014-12-31,156
2015-01-31,366
2015-02-28,191
2015-03-31,62
2015-04-30,142
2015-05-31,82
2015-06-30,61
2015-07-31,73
2015-08-31,156
2015-09-30,147
2015-10-31,57
2015-11-30,81
2015-12-31,28
2016-01-31,17
2016-02-29,84
2016-03-31,48
2016-04-30,49
2016-05-31,52
2016-06-30,67
2016-07-31,32
2016-08-31,245
2016-09-30,171
2016-10-31,409
2016-11-30,289
2016-12-31,116
2017-01-31,236
2017-02-28,110
2017-03-31,178
2017-04-30,308
2017-05-31,248
2017-06-30,198
2017-07-31,224
2017-08-31,297
2017-09-30,113
2017-10-31,161
2017-11-30,133
2017-12-31,185
2018-01-31,81
2018-02-28,168
2018-03-31,164
2018-04-30,76
2018-05-31,176
2018-06-30,136
2018-07-31,153
2018-08-31,129
2018-09-30,114
